tweet_id	tweet_url	tweet_text	stance	persuasiveness	split
n/a	n/a	The only way we can save the planet is by resolving the issue of human rights.	support	no	train
n/a	n/a	There are many reasons why a woman should not have sex with a man. Women should not have to live in fear of a violent rape or abuse. Women should have the freedom to choose whether they want to have	support	no	train
n/a	n/a	i want to encourage all of you to be aware of your rights and to support the right to choose for yourself.	support	no	train
n/a	n/a	In the U.S. abortion rights are in the public interest. They should be protected.	support	no	train
n/a	n/a	We should fight for the right to have an abortion.	support	no	train
n/a	n/a	"The right to abortion is not a personal choice, it is a moral duty."	support	no	train
n/a	n/a	Abortion is not a crime. It is a right. It is the most important right of all.	support	no	train
n/a	n/a	"The abortion debate has been a major issue in our country, and we should continue to fight for the right to abortion."	support	no	train
n/a	n/a	"If you believe in abortion freedom, please consider voting in the November 4th election."	support	no	train
n/a	n/a	The right to abortion is essential to protecting women from the violence and death of the abortion industry.	support	no	train
n/a	n/a	Abortion rights advocates say that abortion is the right to life.	support	no	train
n/a	n/a	It is imperative that we end the ban on abortion.	support	no	train
n/a	n/a	"Abortion is a right, not a crime."	support	no	train
n/a	n/a	The right to abortion is a fundamental right that all Americans should be able to enjoy.	support	no	train
n/a	n/a	Abortion is a right.	support	no	train
n/a	n/a	Abortion is a human right that should not be fought at the expense of women's health.	support	no	train
n/a	n/a	The right to abortion is a human right and it is up to each of us to protect it.	support	no	train
n/a	n/a	The right to abortion is the right of every woman to choose if she wants to have a baby.	support	no	train
n/a	n/a	The right to abortion is a basic human right.	support	no	train
n/a	n/a	"The right to abortion is a fundamental right, not a privilege. We are all entitled to freedom of choice."	support	no	train
n/a	n/a	"If you are a woman, or have an abortion, please speak out for abortion rights!"	support	no	train
n/a	n/a	Abortion freedom is a right.	support	no	train
n/a	n/a	The right to life is the right of everyone to live a life of dignity and freedom.	support	no	train
n/a	n/a	The only way to help women and girls who want to have abortions is to keep them out of government.	support	no	train
n/a	n/a	"Abortion freedom is a national movement to ban abortions, protect unborn children and keep our society safe."	support	no	train
n/a	n/a	A mother's choice is a right.	support	no	train
n/a	n/a	"If abortion is the only option for women, it's right to have one."	support	no	train
n/a	n/a	A new poll shows that 77% of Americans are in favor of the right to abortion. This is a very important message.	support	no	train
n/a	n/a	"When women and girls are able to choose to have abortions, the health care system will be able to care for the entire family."	support	no	train
n/a	n/a	A woman's right to choose whether to have an abortion is protected under the First Amendment of the U.S. Constitution.	support	no	train
n/a	n/a	The US government should be allowed to regulate the abortion industry. We should not allow the government to regulate abortion.	support	no	train
n/a	n/a	Advocacy for abortion freedom is not about laws. It is about the choices women make.	support	no	train
n/a	n/a	You should vote to end the government's intrusion into the abortion debate.	support	no	train
n/a	n/a	This is a message from a young woman who believes that abortion should be legal.	support	no	train
n/a	n/a	We can't allow the death penalty to remain in place unless we give women the option of having abortion.	support	no	train
n/a	n/a	"If you're a woman, you should know that you have the right to abort any child you choose."	support	no	train
n/a	n/a	Abortion is a choice that is hard to make.	support	no	train
n/a	n/a	"Abortion is a right and a privilege. It's a right to choose, and we must protect it."	support	no	train
n/a	n/a	We must continue to push for the right to abortion to be fully respected in our society.	support	no	train
n/a	n/a	"The right to abortion is a constitutional right, not a political right."	support	no	train
n/a	n/a	"If you want to know how to get abortions in America, click here to read the First Amendment, which guarantees that all people have the right to life and liberty."	support	no	train
n/a	n/a	"If we don't have abortion rights, we'll have no freedom."	support	no	train
n/a	n/a	"The right to abortion is a fundamental human right, and we must work to protect it."	support	no	train
n/a	n/a	Abortion is the right thing to do for the human body. It is a moral imperative.	support	no	train
n/a	n/a	The right to abortion is essential for human life and the right to a dignified life.	support	no	train
n/a	n/a	"Abortion is a right, and we must protect it."	support	no	train
n/a	n/a	Abortion is a human right and a right to life. It is the right of women to choose to have abortions.	support	no	train
n/a	n/a	The right to abortion is not just a moral right.	support	no	train
n/a	n/a	The right to abortion is the most important thing that you can do for the well-being of your family and your community.	support	no	train
n/a	n/a	The right to abortion is a fundamental right. It should not be taken for granted.	support	no	train
n/a	n/a	Advocacy for abortion freedom.	support	no	train
n/a	n/a	The United States is a place where abortion rights are respected and defended.	support	no	train
n/a	n/a	"The right to abortion is not a matter of privilege. It is a right guaranteed by the Constitution. It is a right to life, liberty, and the pursuit of happiness."	support	no	train
n/a	n/a	A very short message advocating for abortion freedom.	support	no	train
n/a	n/a	The right to abortion is a right we all have.	support	no	train
